VendorName,ModelName,MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,PRP,ERP
1,1,125,256,6000,256,16,128,198,199
2,1,29,8000,32000,32,8,32,269,253
2,2,29,8000,32000,32,8,32,220,253
2,3,29,8000,32000,32,8,32,172,253
2,4,29,8000,16000,32,8,16,132,132
2,5,26,8000,32000,64,8,32,318,290
2,6,23,16000,32000,64,16,32,367,381
2,7,23,16000,32000,64,16,32,489,381
2,8,23,16000,64000,64,16,32,636,749
2,9,23,32000,64000,128,32,64,1144,1238
3,1,400,1000,3000,0,1,2,38,23
3,2,400,512,3500,4,1,6,40,24
4,1,60,2000,8000,65,1,8,92,70
4,2,50,4000,16000,65,1,8,138,117
5,1,350,64,64,0,1,4,10,15
5,2,200,512,16000,0,4,32,35,64
6,1,167,524,2000,8,4,15,19,23
6,2,143,512,5000,0,7,32,28,29
6,3,143,1000,2000,0,5,16,31,22
6,4,110,5000,5000,142,8,64,120,124
6,5,143,1500,6300,0,5,32,30,35
6,6,143,3100,6200,0,5,20,33,39
6,7,143,2300,6200,0,6,64,61,40
6,8,110,3100,6200,0,6,64,76,45
7,1,320,128,6000,0,1,12,23,28
7,2,320,512,2000,4,1,3,69,21
7,3,320,256,6000,0,1,6,33,28
7,4,320,256,3000,4,1,3,27,22
7,5,320,512,5000,4,1,5,77,28
7,6,320,256,5000,4,1,6,27,27
9,1,25,1310,2620,131,12,24,274,102
9,2,25,1310,2620,131,12,24,368,102
9,3,50,2620,10480,30,12,24,32,74
9,4,50,2620,10480,30,12,24,63,74
9,5,56,5240,20970,30,12,24,106,138
9,6,64,5240,20970,30,12,24,208,136
9,7,50,500,2000,8,1,4,20,23
9,8,50,1000,4000,8,1,5,29,29
9,9,50,2000,8000,8,1,5,71,44
8,1,50,1000,4000,8,3,5,26,30
8,2,50,1000,8000,8,3,5,36,41
8,3,50,2000,16000,8,3,5,40,74
8,4,50,2000,16000,8,3,6,52,74
8,5,50,2000,16000,8,3,6,60,74
10,1,133,1000,12000,9,3,12,72,54
10,2,133,1000,8000,9,3,12,72,41
10,3,810,512,512,8,1,1,18,18
10,4,810,1000,5000,0,1,1,20,28
10,5,320,512,8000,4,1,5,40,36
10,6,200,512,8000,8,1,8,62,38
11,1,700,384,8000,0,1,1,24,34
11,2,700,256,2000,0,1,1,24,19
11,3,140,1000,16000,16,1,3,138,72
11,4,200,1000,8000,0,1,2,36,36
11,5,110,1000,4000,16,1,2,26,30
11,6,110,1000,12000,16,1,2,60,56
11,7,220,1000,8000,16,1,2,71,42
12,1,800,256,8000,0,1,4,12,34
12,2,800,256,8000,0,1,4,14,34
12,3,800,256,8000,0,1,4,20,34
12,4,800,256,8000,0,1,4,16,34
12,5,800,256,8000,0,1,4,22,34
13,1,125,512,1000,0,8,20,36,19
14,1,75,2000,8000,64,1,38,144,75
14,2,75,2000,16000,64,1,38,144,113
14,3,75,2000,16000,128,1,38,259,157
17,1,90,256,1000,0,3,10,17,18
17,2,105,256,2000,0,3,10,26,20
17,3,105,1000,4000,0,3,24,32,28
17,4,105,2000,4000,8,3,19,32,33
17,5,75,2000,8000,8,3,24,62,47
17,6,75,3000,8000,8,3,48,64,54
17,7,175,256,2000,0,3,24,22,20
15,1,300,768,3000,0,6,24,36,23
15,2,300,768,3000,6,6,24,44,25
15,3,300,768,12000,6,6,24,50,52
15,4,300,768,4500,0,1,24,45,27
15,5,300,384,12000,6,1,24,53,50
15,6,300,192,768,6,6,24,36,18
15,7,180,768,12000,6,1,31,84,53
16,1,330,1000,3000,0,2,4,16,23
16,2,300,1000,4000,8,3,64,38,30
16,3,300,1000,16000,8,2,112,38,73
16,4,330,1000,2000,0,1,2,16,20
16,5,330,1000,4000,0,3,6,22,25
16,6,140,2000,4000,0,3,6,29,28
16,7,140,2000,4000,0,4,8,40,29
16,8,140,2000,4000,8,1,20,35,32
16,9,140,2000,32000,32,1,20,134,175
16,10,140,2000,8000,32,1,54,66,57
16,11,140,2000,32000,32,1,54,141,181
16,12,140,2000,32000,32,1,54,189,181
16,13,140,2000,4000,8,1,20,22,32
18,1,57,4000,16000,1,6,12,132,82
18,2,57,4000,24000,64,12,16,237,171
18,3,26,16000,32000,64,16,24,465,361
18,4,26,16000,32000,64,8,24,465,350
18,5,26,8000,32000,0,8,24,277,220
18,6,26,8000,16000,0,8,16,185,113
18,7,480,96,512,0,1,1,6,15
18,8,203,1000,2000,0,1,5,24,21
18,9,115,512,6000,16,1,6,45,35
18,10,1100,512,1500,0,1,1,7,18
18,11,1100,768,2000,0,1,1,13,20
18,12,600,768,2000,0,1,1,16,20
18,13,400,2000,4000,0,1,1,32,28
18,14,400,4000,8000,0,1,1,32,45
18,15,900,1000,1000,0,1,2,11,18
18,16,900,512,1000,0,1,2,11,17
18,17,900,1000,4000,4,1,2,18,26
18,18,900,1000,4000,8,1,2,22,28
18,19,900,2000,4000,0,3,6,37,28
18,20,225,2000,4000,8,3,6,40,31
18,21,225,2000,4000,8,3,6,34,31
18,22,180,2000,8000,8,1,6,50,42
18,23,185,2000,16000,16,1,6,76,76
18,24,180,2000,16000,16,1,6,66,76
18,25,225,1000,4000,2,3,6,24,26
18,26,25,2000,12000,8,1,4,49,59
18,27,25,2000,12000,16,3,5,66,65
18,28,17,4000,16000,8,6,12,100,101
18,29,17,4000,16000,32,6,12,133,116
18,30,1500,768,1000,0,0,0,12,18
18,31,1500,768,2000,0,0,0,18,20
18,32,800,768,2000,0,0,0,20,20
19,1,50,2000,4000,0,3,6,27,30
19,2,50,2000,8000,8,3,6,45,44
19,3,50,2000,8000,8,1,6,56,44
19,4,50,2000,16000,24,1,6,70,82
19,5,50,2000,16000,24,1,6,80,82
19,6,50,8000,16000,48,1,10,136,128
20,1,100,1000,8000,0,2,6,16,37
20,2,100,1000,8000,24,2,6,26,46
20,3,100,1000,8000,24,3,6,32,46
20,4,50,2000,16000,12,3,16,45,80
20,5,50,2000,16000,24,6,16,54,88
20,6,50,2000,16000,24,6,16,65,88
21,1,150,512,4000,0,8,128,30,33
22,1,115,2000,8000,16,1,3,50,46
22,2,115,2000,4000,2,1,5,40,29
22,3,92,2000,8000,32,1,6,62,53
22,4,92,2000,8000,32,1,6,60,53
22,5,92,2000,8000,4,1,6,50,41
22,6,75,4000,16000,16,1,6,66,86
22,7,60,4000,16000,32,1,6,86,95
22,8,60,2000,16000,64,5,8,74,107
22,9,60,4000,16000,64,5,8,93,117
22,10,50,4000,16000,64,5,10,111,119
22,11,72,4000,16000,64,8,16,143,120
22,12,72,2000,8000,16,6,8,105,48
22,13,40,8000,16000,32,8,16,214,126
22,14,40,8000,32000,64,8,24,277,266
22,15,35,8000,32000,64,8,24,370,270
22,16,38,16000,32000,128,16,32,510,426
22,17,48,4000,24000,32,8,24,214,151
22,18,38,8000,32000,64,8,24,326,267
22,19,30,16000,32000,256,16,24,510,603
23,1,112,1000,1000,0,1,4,8,19
23,2,84,1000,2000,0,1,6,12,21
23,3,56,1000,4000,0,1,6,17,26
23,4,56,2000,6000,0,1,8,21,35
23,5,56,2000,8000,0,1,8,24,41
23,6,56,4000,8000,0,1,8,34,47
23,7,56,4000,12000,0,1,8,42,62
23,8,56,4000,16000,0,1,8,46,78
23,9,38,4000,8000,32,16,32,51,80
23,10,38,4000,8000,32,16,32,116,80
23,11,38,8000,16000,64,4,8,100,142
23,12,38,8000,24000,160,4,8,140,281
23,13,38,4000,16000,128,16,32,212,190
24,1,200,1000,2000,0,1,2,25,21
24,2,200,1000,4000,0,1,4,30,25
24,3,200,2000,8000,64,1,5,41,67
25,1,250,512,4000,0,1,7,25,24
25,2,250,512,4000,0,4,7,50,24
25,3,250,1000,16000,1,1,8,50,64
26,1,160,512,4000,2,1,5,30,25
26,2,160,512,2000,2,3,8,32,20
26,3,160,1000,4000,8,1,14,38,29
26,4,160,1000,8000,16,1,14,60,43
26,5,160,2000,8000,32,1,13,109,53
27,1,240,512,1000,8,1,3,6,19
27,2,240,512,2000,8,1,5,11,22
27,3,105,2000,4000,8,3,8,22,31
27,4,105,2000,6000,16,6,16,33,41
27,5,105,2000,8000,16,4,14,58,47
27,6,52,4000,16000,32,4,12,130,99
27,7,70,4000,12000,8,6,8,75,67
27,8,59,4000,12000,32,6,12,113,81
27,9,59,8000,16000,64,12,24,188,149
27,10,26,8000,24000,32,8,16,173,183
27,11,26,8000,32000,64,12,16,248,275
27,12,26,8000,32000,128,24,32,405,382
28,1,116,2000,8000,32,5,28,70,56
28,2,50,2000,32000,24,6,26,114,182
28,3,50,2000,32000,48,26,52,208,227
28,4,50,2000,32000,112,52,104,307,341
28,5,50,4000,32000,112,52,104,397,360
28,6,30,8000,64000,96,12,176,915,919
28,7,30,8000,64000,128,12,176,1150,978
28,8,180,262,4000,0,1,3,12,24
28,9,180,512,4000,0,1,3,14,24
28,10,180,262,4000,0,1,3,18,24
28,11,180,512,4000,0,1,3,21,24
28,12,124,1000,8000,0,1,8,42,37
28,13,98,1000,8000,32,2,8,46,50
29,1,125,2000,8000,0,2,14,52,41
30,1,480,512,8000,32,0,0,67,47
30,2,480,1000,4000,0,0,0,45,25
